;address;floor;link_url;rooms;square;price;uptime
975;巨峰路90弄,巨峰路176弄;中层/6层;3383881;1室1厅;47;4000;20160829
978;控江七村;中层/5层;3383326;1室0厅;29;3900;20160829
979;广富林路1188弄;高层/18层;3383508;1室1厅;59;3500;20160829
982;大宁路540弄,大宁路570号,大宁路5;低层/6层;3382980;1室1厅;42;4200;20160829
985;潍坊路144号;低层/6层;3399311;1室1厅;37;4000;20160904
986;东明路383弄,南码头路1186弄130;低层/6层;3399206;1室1厅;43;4200;20160904
987;昆阳路540弄,昆阳路420弄,昆阳路5;中层/6层;3397702;1室1厅;34;1700;20160904
990;梅陇二村;中层/6层;3397540;2室1厅;52;4000;20160904
991;共康五村;高层/6层;3397482;2室1厅;65;4200;20160904
992;白萱路99弄;低层/11层;3397480;2室1厅;78;3800;20160904
993;沧州路180弄;高层/6层;3397444;1室0厅;37;3500;20160904
994;三门路358弄;高层/7层;3397354;1室1厅;40;3300;20160904
996;北蔡大街32弄;低层/6层;3369201;1室1厅;40;4000;20160823
997;华阴路50弄;高层/6层;3369083;1室0厅;30;3200;20160823
998;泗凯路415弄;低层/15层;3394884;2室1厅;72;2800;20160903
999;东三街102弄;中层/6层;3394780;1室1厅;35;4000;20160903
1002;光新路200弄,光新路240弄,光新路2;高层/6层;3394752;2室1厅;39;4000;20160903
1006;莘浜路157弄;中层/5层;3393661;1室1厅;43;3500;20160902
1008;政立路810弄,政立路817弄,政立路8;中层/6层;3393171;1室1厅;46;3600;20160902
1009;江栀路350弄（三期）;高层/11层;3393128;2室1厅;78;3800;20160902
1012;漕宝路3158弄;高层/14层;3392950;3室2厅;145;2800;20160902
1013;昌里东路500弄,昌里东路550弄,南码;高层/6层;3392848;1室0厅;45;3800;20160902
1015;普陀四村;中层/6层;3392939;1室0厅;32;4000;20160902
1016;昆阳路540弄,昆阳路420弄,昆阳路5;高层/6层;3391243;2室1厅;59;2400;20160901
1022;阜康西路199弄,昌吉路222弄;高层/6层;3390244;3室1厅;90;3500;20160901
1023;潼港八村, 和龙路666弄, 和龙路55;高层/6层;3390078;3室1厅;85;3800;20160901
1028;菊联路233弄;低层/8层;3382034;2室1厅;74;4200;20160828
1032;泾惠路24弄,交通路2285弄,泾惠路4;低层/6层;3381423;1室1厅;36;3500;20160828
1033;沧源路770弄,东川路925弄;高层/6层;3381236;1室1厅;40;2500;20160828
1038;芳华路455弄;中层/6层;3380900;1室1厅;48;4200;20160828
1039;横港路155弄,古楼公路348弄;中层/5层;3380675;3室2厅;90;1500;20160828
1040;纬地路99弄, 涵青路100弄;高层/14层;3380528;1室1厅;63;3000;20160828
1042;竹柳路50弄,竹柳路50弄;高层/21层;3380097;1室1厅;56;3000;20160828
1043;梅陇二村;高层/6层;3380017;1室1厅;46;3500;20160828
1044;雪松路393弄;高层/6层;3379041;3室1厅;70;4200;20160827
1045;菊太路777弄,菊太路999弄,菊太路1;高层/6层;3365081;1室1厅;53;2500;20160821
1050;松花江路977弄;低层/29层;3388433;1室0厅;28;2600;20160831
1053;妙栏路392弄;中层/6层;3398918;2室2厅;68;4200;20160904
1054;华盈路685弄;中层/6层;3398883;3室2厅;129;3500;20160904
1090;斜土路102号;高层/7层;3381826;1室0厅;23;2900;20160828
1125;博山东路41弄,万德路50弄,万德路52;高层/6层;3397890;1室1厅;42;4000;20160904
1175;吉镇路445弄;高层/6层;3390147;2室1厅;50;4200;20160901
1178;泗凯路199弄;高层/12层;3321811;2室1厅;70;3500;20160903
1182;洪德路1139号;中层/12层;3391822;1室1厅;39;2800;20160831
1184;花家浜路260弄;高层/6层;3398682;1室1厅;45;4200;20160904
1185;共富三村;高层/6层;3392705;1室2厅;54;3600;20160902
1186;宜川一村,宜川一村;中层/5层;3393960;1室0厅;18;2500;20160902
1189;内江路391弄;高层/6层;3389086;1室1厅;34;3800;20160831
1191;沧源路770弄,东川路925弄;高层/6层;3395897;3室1厅;55;3300;20160903
1194;茶陵路75弄1-20号,茶陵路105弄1;低层/6层;3392668;1室1厅;45;3600;20160902
1195;南码头路101号;低层/24层;3392455;1室1厅;36;3500;20160902
1198;草高支路168弄,草高支路170弄,季景;低层/6层;3387226;2室2厅;83;4000;20160831
1205;栖山路400弄,阳光二村;高层/6层;3386225;1室1厅;37;4000;20160830
